# Radial distribution function (200 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.0655048498 
1.11 4.9935412349 
1.17 5.3645171696 
1.23 3.1986519884 
1.29 1.6874647965 
1.35 0.8057862664 
1.41 0.313648175 
1.47 0.1128686322 
1.53 0.0331242275 
1.59 0.0113836631 
1.65 0.0091414264 
1.71 0.0102319825 
1.77 0.0347684082 
1.83 0.1216559009 
1.89 0.4545755659 
1.95 1.3059863678 
2.01 2.1545932725 
2.07 2.2378741783 
2.13 1.6493965794 
2.19 1.1372435351 
2.25 1.4970731199 
2.31 1.9774211237 
2.37 1.9250686871 
2.43 1.5162804982 
2.49 0.9684845659 
2.55 0.5015954443 
2.61 0.2290820443 
2.67 0.0906131054 
2.73 0.0333712291 
2.79 0.0214086309 
2.85 0.0563111867 
2.91 0.2083679772 
2.97 0.6760592685 
3.03 1.5887799096 
3.09 2.4477012347 
3.15 2.6424120112 
3.21 2.2016997351 
3.27 1.4053810906 
3.33 0.8216577592 
3.39 0.6848465433 
3.45 0.8630301435 
3.51 1.0860014572 
3.57 1.1250407253 
3.63 0.9488800611 
3.69 0.6383242531 
3.75 0.3579782581 
3.81 0.183692285 
3.87 0.155744395 
3.93 0.2732658459 
3.99 0.5647751939 
4.05 1.0065997046 
4.11 1.5152347988 
4.17 1.9831897114 
4.23 2.2535885243 
4.29 2.1651116852 
4.35 1.7428728367 
4.41 1.1883356837 
4.47 0.6798644469 
4.53 0.4411131747 
4.59 0.4281174953 
4.65 0.6098216068 
4.71 0.7692190081 
4.77 0.8035601278 
4.83 0.6679146298 
4.89 0.5114151375 
4.95 0.4617029764 
5.01 0.6303095616 
5.07 0.9749736948 
5.13 1.3601480239 
5.19 1.561926309 
5.25 1.5860218107 
5.31 1.5893480208 
5.37 1.6512480257 
5.43 1.6062243774 
5.49 1.3911852304 
5.55 1.0614332561 
5.61 0.672486345 
5.67 0.4108418211 
5.73 0.2985082539 
5.79 0.3506423818 
5.85 0.489371027 
5.91 0.6572360765 
5.97 0.7601808078 
6.03 0.8645788273 
6.09 1.0675745031 
6.15 1.3541172641 
6.21 1.5734293791 
6.27 1.6431473403 
6.33 1.5021399829 
6.39 1.2521779973 
6.45 1.099097082 
6.51 1.1014786925 
6.57 1.1543242277 
6.63 1.1425128452 
6.69 0.9607352204 
6.75 0.7388385222 
6.81 0.4709727318 
6.87 0.3010523205 
6.93 0.2879984624 
6.99 0.4333820789 
7.05 0.729649206 
7.11 1.0865105999 
7.17 1.4057601382 
7.23 1.6315890957 
7.29 1.677831698 
7.35 1.6165250715 
7.41 1.4635534708 
7.47 1.2036798837 
7.53 0.9752700116 
7.59 0.7942707188 
7.65 0.7456105865 
7.71 0.8344948508 
7.77 0.9047682668 
7.83 0.8851212387 
7.89 0.7538235717 
7.95 0.5872452324 
8.01 0.4572835932 
8.07 0.4998627112 
8.13 0.7336483809 
8.19 1.094473182 
8.25 1.4463199205 
8.31 1.6412721581 
8.37 1.6627369981 
8.43 1.5379652902 
8.49 1.3807042476 
8.55 1.2089263785 
8.61 1.0165584682 
8.67 0.8052805884 
8.73 0.6367144855 
8.79 0.5677792981 
8.85 0.6115149448 
8.91 0.6963058352 
8.97 0.7842671244 
9.03 0.8165389325 
9.09 0.8407517698 
9.15 0.8651086289 
9.21 0.9867559386 
9.27 1.1549911219 
9.33 1.3396863278 
9.39 1.451150332 
9.45 1.4824143348 
9.51 1.3833544675 
9.57 1.2538254372 
9.63 1.1385034314 
9.69 1.0285321678 
9.75 0.8969567591 
9.81 0.7422055491 
9.87 0.5909862709 
9.93 0.4917811231 
9.99 0.4852038542 
10.05 0.5947493884 
10.11 0.8061761559 
10.17 1.0268545407 
10.23 1.2218843375 
10.29 1.3557721463 
10.35 1.3764762431 
10.41 1.358168329 
10.47 1.2771437067 
10.53 1.2343998836 
10.59 1.1555643456 
10.65 1.0789200705 
10.71 1.0165419802 
10.77 0.9429266753 
10.83 0.897201881 
10.89 0.8311495695 
10.95 0.7327066148 
11.01 0.6045397152 
11.07 0.5283397634 
11.13 0.5512945403 
11.19 0.7261576619 
11.25 0.9981023763 
11.31 1.3086642965 
11.37 1.530038406 
11.43 1.5629151913 
11.49 1.4569285577 
11.55 1.2945304527 
11.61 1.1097502688 
11.67 0.978207825 
11.73 0.9069043144 
11.79 0.8571541046 
11.85 0.8263386615 
11.91 0.7994304038 
11.97 0.7921973871 
