# Radial distribution function (200 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.0445420842 
1.11 3.996184878 
1.17 4.2665641844 
1.23 2.921886035 
1.29 1.9555140315 
1.35 1.3256683154 
1.41 0.9209757073 
1.47 0.6258759378 
1.53 0.4475360453 
1.59 0.3286160547 
1.65 0.2714915957 
1.71 0.2397433727 
1.77 0.2625812486 
1.83 0.3178643612 
1.89 0.4353679412 
1.95 0.7348908534 
2.01 1.0274387942 
2.07 1.2857290477 
2.13 1.3596412392 
2.19 1.5082529372 
2.25 1.7155198143 
2.31 1.8152164717 
2.37 1.629583075 
2.43 1.4383810972 
2.49 1.2426000489 
2.55 0.9964244372 
2.61 0.8052453658 
2.67 0.6201953474 
2.73 0.5326847812 
2.79 0.4575816094 
2.85 0.4261534603 
2.91 0.4615644777 
2.97 0.5826464551 
3.03 0.8132513581 
3.09 1.0535838108 
3.15 1.3070317836 
3.21 1.4419589149 
3.27 1.4642188578 
3.33 1.4286196351 
3.39 1.4022565021 
3.45 1.2628528143 
3.51 1.2125345147 
3.57 1.110072255 
3.63 0.983215893 
3.69 0.9143518926 
3.75 0.8131992637 
3.81 0.7326865969 
3.87 0.687337879 
3.93 0.6279403201 
3.99 0.6459701111 
4.05 0.7161531977 
4.11 0.8415395712 
4.17 0.9913567855 
4.23 1.1250035277 
4.29 1.3020967232 
4.35 1.3935000646 
4.41 1.3488562705 
4.47 1.3346744068 
4.53 1.2363378176 
4.59 1.1174868381 
4.65 1.0304622597 
4.71 0.9444136476 
4.77 0.8882591538 
4.83 0.8295660589 
4.89 0.7953272648 
4.95 0.7859821944 
5.01 0.7835706095 
5.07 0.7864049927 
5.13 0.8534180307 
5.19 0.9048013151 
5.25 1.0205705045 
5.31 1.0834917033 
5.37 1.1622894505 
5.43 1.2097382446 
5.49 1.2605425045 
5.55 1.2423065675 
5.61 1.1896808096 
5.67 1.1297914069 
5.73 1.0584028543 
5.79 0.9671639975 
5.85 0.9015310707 
5.91 0.8384672872 
5.97 0.8200031231 
6.03 0.813176965 
6.09 0.8376839706 
6.15 0.8519692099 
6.21 0.8898666537 
6.27 0.9785538926 
6.33 1.0178809596 
6.39 1.0966102988 
6.45 1.1328612283 
6.51 1.1530652446 
6.57 1.1764595366 
6.63 1.1620653129 
6.69 1.1355859559 
6.75 1.089007561 
6.81 1.0265098579 
6.87 0.9948876895 
6.93 0.9358688385 
6.99 0.884344968 
7.05 0.8616849809 
7.11 0.8474243112 
7.17 0.8748838769 
7.23 0.8678255788 
7.29 0.9326571697 
7.35 0.964515087 
7.41 1.03303654 
7.47 1.068174298 
7.53 1.128663806 
7.59 1.1493959392 
7.65 1.1307330134 
7.71 1.1243030826 
7.77 1.077813102 
7.83 1.058821126 
7.89 1.0253914865 
7.95 0.9629599409 
8.01 0.944433986 
8.07 0.9068955663 
8.13 0.9064047049 
8.19 0.8904847765 
8.25 0.8971180689 
8.31 0.9255522491 
8.37 0.9479910542 
8.43 0.9784323653 
8.49 1.0074105222 
8.55 1.0511956294 
8.61 1.112618487 
8.67 1.1139374175 
8.73 1.1081230605 
8.79 1.0978155808 
8.85 1.0676652654 
8.91 1.0309495975 
8.97 1.0073526597 
9.03 0.9745199457 
9.09 0.9410755633 
9.15 0.9302723818 
9.21 0.9104059242 
9.27 0.9148402637 
9.33 0.9138914967 
9.39 0.9453296921 
9.45 0.993226614 
9.51 1.0014065187 
9.57 1.0164326462 
9.63 1.0348381077 
9.69 1.0768466872 
9.75 1.0709694445 
9.81 1.0842341003 
9.87 1.0719419801 
9.93 1.0572962772 
9.99 1.0393884483 
10.05 0.9981353382 
10.11 0.9703103138 
10.17 0.9580469353 
10.23 0.9342836868 
10.29 0.937784155 
10.35 0.9197799179 
10.41 0.9308348921 
10.47 0.9453925758 
10.53 0.982200148 
10.59 1.0193496981 
10.65 1.0310355418 
10.71 1.0533711644 
10.77 1.0582913067 
10.83 1.0659909377 
10.89 1.0626676823 
10.95 1.040561053 
11.01 1.0348240474 
11.07 1.0105994602 
11.13 1.0086969926 
11.19 0.9810845589 
11.25 0.9446076918 
11.31 0.9548450853 
11.37 0.9554622294 
11.43 0.9507024167 
11.49 0.9438935017 
11.55 0.9587936707 
11.61 0.9850584071 
11.67 0.994271066 
11.73 1.0332307518 
11.79 1.0347286254 
11.85 1.0507650337 
11.91 1.0562704381 
11.97 1.0550661998 
