# Radial distribution function (200 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.047140538 
1.11 4.1850300932 
1.17 4.2488724856 
1.23 2.8433621186 
1.29 1.9110653019 
1.35 1.3166516432 
1.41 0.9069576037 
1.47 0.6332311073 
1.53 0.4654731495 
1.59 0.3684555426 
1.65 0.2632706301 
1.71 0.2756345151 
1.77 0.2529346852 
1.83 0.3314370832 
1.89 0.4659330123 
1.95 0.717553677 
2.01 1.0357476636 
2.07 1.2841029525 
2.13 1.3859734378 
2.19 1.5068876328 
2.25 1.7753454949 
2.31 1.7970331273 
2.37 1.6411907497 
2.43 1.4361924731 
2.49 1.163933028 
2.55 0.9635873622 
2.61 0.8058533038 
2.67 0.6568685731 
2.73 0.5333754327 
2.79 0.4790086925 
2.85 0.4549265587 
2.91 0.4927669562 
2.97 0.620118746 
3.03 0.8392227888 
3.09 1.0773125991 
3.15 1.2985928301 
3.21 1.4600481316 
3.27 1.4409396544 
3.33 1.4025530242 
3.39 1.3866640488 
3.45 1.2807481532 
3.51 1.1658247733 
3.57 1.114362586 
3.63 0.9815663643 
3.69 0.9087467016 
3.75 0.8262399489 
3.81 0.7391574308 
3.87 0.6837914206 
3.93 0.6639527522 
3.99 0.6663739051 
4.05 0.7471605889 
4.11 0.8850855559 
4.17 1.0502221435 
4.23 1.1774904996 
4.29 1.2696849526 
4.35 1.3482970241 
4.41 1.3361511408 
4.47 1.2699565549 
4.53 1.2047000489 
4.59 1.1150753733 
4.65 1.0436511114 
4.71 0.95161684 
4.77 0.8756820673 
4.83 0.84874382 
4.89 0.8266968076 
4.95 0.784737513 
5.01 0.8124991287 
5.07 0.8208065678 
5.13 0.8751467861 
5.19 0.9366289276 
5.25 1.0313223968 
5.31 1.1210933409 
5.37 1.1663480229 
5.43 1.1870653739 
5.49 1.2120397112 
5.55 1.215841758 
5.61 1.1783441366 
5.67 1.1046364873 
5.73 1.0356957067 
5.79 0.9832398501 
5.85 0.8995309471 
5.91 0.8608978695 
5.97 0.8324461087 
6.03 0.8508714838 
6.09 0.8423672049 
6.15 0.8892864286 
6.21 0.9386300069 
6.27 0.9928026893 
6.33 1.0646218833 
6.39 1.0948588969 
6.45 1.1147976376 
6.51 1.1440148375 
6.57 1.1462736012 
6.63 1.1214144055 
6.69 1.1055041432 
6.75 1.0636093656 
6.81 1.0527195952 
6.87 0.9741650706 
6.93 0.928845562 
6.99 0.9113605835 
7.05 0.8802361492 
7.11 0.8744704875 
7.17 0.8900267814 
7.23 0.9242283901 
7.29 0.9604005128 
7.35 1.0042241259 
7.41 1.0405585126 
7.47 1.0883747959 
7.53 1.0923586995 
7.59 1.1082517724 
7.65 1.130269241 
7.71 1.079121079 
7.77 1.0637521965 
7.83 1.0392780871 
7.89 1.0191088214 
7.95 0.9764768833 
8.01 0.961230591 
8.07 0.9308314188 
8.13 0.9342300759 
8.19 0.8999639256 
8.25 0.9014780384 
8.31 0.9419090469 
8.37 0.9756701837 
8.43 1.012105623 
8.49 1.0353216727 
8.55 1.061322492 
8.61 1.0890202187 
8.67 1.0864259195 
8.73 1.0818362988 
8.79 1.0741996109 
8.85 1.0587361759 
8.91 1.0247422894 
8.97 1.0069339396 
9.03 0.9648184042 
9.09 0.966414699 
9.15 0.9295578902 
9.21 0.9377802051 
9.27 0.9466133342 
9.33 0.9500276488 
9.39 0.9585122837 
9.45 0.9781466191 
9.51 0.9996306559 
9.57 1.0317299939 
9.63 1.0533029028 
9.69 1.0675182964 
9.75 1.0574634759 
9.81 1.0809683181 
9.87 1.0364481257 
9.93 1.0455115351 
9.99 1.0220016237 
10.05 1.0034035208 
10.11 0.9743574859 
10.17 0.9654854561 
10.23 0.9544065852 
10.29 0.945826146 
10.35 0.9466958009 
10.41 0.9629553357 
10.47 0.9728191808 
10.53 0.9983562932 
10.59 1.0063730513 
10.65 1.0107617098 
10.71 1.0499358044 
10.77 1.0724163715 
10.83 1.0430772243 
10.89 1.0417397948 
10.95 1.0489179327 
11.01 1.0234072956 
11.07 1.0132555754 
11.13 1.0044744599 
11.19 0.9670025649 
11.25 0.9619765547 
11.31 0.9662139961 
11.37 0.959101006 
11.43 0.9752663933 
11.49 0.9643869111 
11.55 0.9790776323 
11.61 0.9989616147 
11.67 1.0076260604 
11.73 1.0199177588 
11.79 1.0347161002 
11.85 1.0335916976 
11.91 1.041720998 
11.97 1.0459422589 
