# Radial distribution function (200 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.0639624489 
1.11 4.0332521076 
1.17 4.3051648309 
1.23 3.0306974789 
1.29 2.0460009433 
1.35 1.3083361401 
1.41 0.8593331862 
1.47 0.5717998011 
1.53 0.3353276961 
1.59 0.217728624 
1.65 0.1737236897 
1.71 0.1550762575 
1.77 0.1552958637 
1.83 0.2470613098 
1.89 0.4542579419 
1.95 0.7502526423 
2.01 1.1536172411 
2.07 1.465698609 
2.13 1.5203039168 
2.19 1.5055248356 
2.25 1.6906308319 
2.31 1.7585177497 
2.37 1.7078633267 
2.43 1.4576958257 
2.49 1.2487812114 
2.55 0.9758443237 
2.61 0.7393313283 
2.67 0.54352893 
2.73 0.3976729576 
2.79 0.329561537 
2.85 0.3019735583 
2.91 0.3390506047 
2.97 0.5026144325 
3.03 0.8175990076 
3.09 1.1396212122 
3.15 1.4869620856 
3.21 1.6992355756 
3.27 1.6475185402 
3.33 1.5240611377 
3.39 1.3379828574 
3.45 1.1945008837 
3.51 1.1302906979 
3.57 1.0645539178 
3.63 0.9611261228 
3.69 0.8685672753 
3.75 0.7815551851 
3.81 0.6631190976 
3.87 0.5619525151 
3.93 0.5267703061 
3.99 0.5341194188 
4.05 0.6304904854 
4.11 0.8028878097 
4.17 1.0229579969 
4.23 1.2953833973 
4.29 1.4802988502 
4.35 1.5833946295 
4.41 1.5067442863 
4.47 1.3901753453 
4.53 1.2565190987 
4.59 1.0498788866 
4.65 0.9058971648 
4.71 0.8561366857 
4.77 0.7614695744 
4.83 0.7667753009 
4.89 0.7270666708 
4.95 0.7090220478 
5.01 0.705229532 
5.07 0.7196897275 
5.13 0.8172208348 
5.19 0.9126302936 
5.25 1.0506986196 
5.31 1.1890369275 
5.37 1.2911477694 
5.43 1.3527491439 
5.49 1.3676022681 
5.55 1.3302371551 
5.61 1.2428229296 
5.67 1.1336910571 
5.73 0.9898695608 
5.79 0.8706730767 
5.85 0.7684793195 
5.91 0.7210796252 
5.97 0.6927249525 
6.03 0.71832681 
6.09 0.7478581389 
6.15 0.8119387154 
6.21 0.9028774788 
6.27 1.034700593 
6.33 1.1237727564 
6.39 1.2190819876 
6.45 1.2303915431 
6.51 1.2649972853 
6.57 1.2322624879 
6.63 1.1765187868 
6.69 1.1404039509 
6.75 1.0952891653 
6.81 1.0174180444 
6.87 0.9534041704 
6.93 0.8361476648 
6.99 0.7878636412 
7.05 0.7361784645 
7.11 0.7212017218 
7.17 0.7554345135 
7.23 0.8166792896 
7.29 0.9096827351 
7.35 1.0521304741 
7.41 1.1530273253 
7.47 1.229316797 
7.53 1.2381871195 
7.59 1.258867317 
7.65 1.1958663559 
7.71 1.1500103987 
7.77 1.0580804102 
7.83 0.9970052298 
7.89 0.9609034749 
7.95 0.935797626 
8.01 0.8923106145 
8.07 0.8329973395 
8.13 0.8156082118 
8.19 0.7964449263 
8.25 0.80450014 
8.31 0.8455998099 
8.37 0.916468943 
8.43 1.0246030105 
8.49 1.1206884651 
8.55 1.197852742 
8.61 1.2299543075 
8.67 1.2307860091 
8.73 1.1864788413 
8.79 1.1386018074 
8.85 1.0680600154 
8.91 1.0044517864 
8.97 0.9210080997 
9.03 0.8794645038 
9.09 0.8597966833 
9.15 0.8416731849 
9.21 0.833107729 
9.27 0.8555748451 
9.33 0.8718162146 
9.39 0.9125514434 
9.45 0.9753357617 
9.51 1.0411865221 
9.57 1.0894266701 
9.63 1.148425567 
9.69 1.1687524239 
9.75 1.1700106516 
9.81 1.1497269854 
9.87 1.1453333006 
9.93 1.0711972029 
9.99 1.0156249164 
10.05 0.9485220767 
10.11 0.8935156317 
10.17 0.8490979595 
10.23 0.8225276615 
10.29 0.823518212 
10.35 0.8482454752 
10.41 0.9081379338 
10.47 0.9538535052 
10.53 1.0120014038 
10.59 1.0672674736 
10.65 1.1152796106 
10.71 1.1389634374 
10.77 1.1550545958 
10.83 1.1266630009 
10.89 1.1069131308 
10.95 1.0749232341 
11.01 1.0576829403 
11.07 1.000412873 
11.13 0.9542112468 
11.19 0.9381430244 
11.25 0.8749799249 
11.31 0.8463406155 
11.37 0.8469896246 
11.43 0.8551431717 
11.49 0.8957514767 
11.55 0.9569789452 
11.61 0.9993845111 
11.67 1.0782570729 
11.73 1.1301151328 
11.79 1.1519063047 
11.85 1.1495211457 
11.91 1.1413466095 
11.97 1.0909710156 
