# Radial distribution function (200 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.0440077605 
1.11 3.4908858639 
1.17 3.6962287275 
1.23 2.645832428 
1.29 1.9285377588 
1.35 1.4235288073 
1.41 1.0990235925 
1.47 0.8711740337 
1.53 0.6989467839 
1.59 0.5672226673 
1.65 0.5005882753 
1.71 0.4289791563 
1.77 0.4363481334 
1.83 0.4576626729 
1.89 0.5282677596 
1.95 0.6114539795 
2.01 0.7294943129 
2.07 0.9088559226 
2.13 1.0591304323 
2.19 1.2897137335 
2.25 1.5721772426 
2.31 1.6374316069 
2.37 1.5078924887 
2.43 1.4251587243 
2.49 1.2397065655 
2.55 1.1221978919 
2.61 0.9623536125 
2.67 0.9005520646 
2.73 0.7943158963 
2.79 0.716900614 
2.85 0.6905165047 
2.91 0.6544453038 
2.97 0.7165152414 
3.03 0.7717697596 
3.09 0.8489118357 
3.15 0.9233771169 
3.21 1.0426137643 
3.27 1.1499046126 
3.33 1.2186383219 
3.39 1.2323633365 
3.45 1.2305430847 
3.51 1.2001047926 
3.57 1.2021237509 
3.63 1.1095138369 
3.69 1.0619555612 
3.75 0.9888543777 
3.81 0.9342986154 
3.87 0.8688547669 
3.93 0.8476113025 
3.99 0.8249387053 
4.05 0.8385923244 
4.11 0.8385967859 
4.17 0.8670953523 
4.23 0.936335329 
4.29 0.9965218836 
4.35 1.0364586344 
4.41 1.107304109 
4.47 1.1332367512 
4.53 1.1185912956 
4.59 1.1410018614 
4.65 1.1048077285 
4.71 1.0779448652 
4.77 1.0650777562 
4.83 1.0292964162 
4.89 0.9625010188 
4.95 0.9426662327 
5.01 0.9119422519 
5.07 0.8985460264 
5.13 0.8980092349 
5.19 0.9186302022 
5.25 0.9285637458 
5.31 0.9583187104 
5.37 0.9946307035 
5.43 1.0076500678 
5.49 1.0259459458 
5.55 1.0688236148 
5.61 1.0462139044 
5.67 1.059300557 
5.73 1.0905457134 
5.79 1.0554451878 
5.85 1.0437738059 
5.91 1.033316736 
5.97 0.9926624864 
6.03 0.9758064051 
6.09 0.9502045078 
6.15 0.94482515 
6.21 0.9539000978 
6.27 0.9495095447 
6.33 0.9579769895 
6.39 0.9603454066 
6.45 0.969066237 
6.51 1.0091871798 
6.57 1.0103950712 
6.63 1.0354767168 
6.69 1.0398806852 
6.75 1.0341823709 
6.81 1.042882143 
6.87 1.044944094 
6.93 1.0237519602 
6.99 1.024998348 
7.05 0.9901746105 
7.11 0.9959773215 
7.17 0.9671579993 
7.23 0.9660936005 
7.29 0.9821382139 
7.35 0.9699669654 
7.41 0.9672353426 
7.47 0.974710036 
7.53 0.9877638268 
7.59 0.9999589446 
7.65 0.9984799966 
7.71 1.0181075518 
7.77 1.0205467618 
7.83 1.0214732332 
7.89 1.0444522428 
7.95 1.0083381908 
8.01 1.0241693693 
8.07 1.0125670351 
8.13 1.0097629356 
8.19 0.9931971215 
8.25 1.0002763918 
8.31 0.963861306 
8.37 0.9806119923 
8.43 0.9825398122 
8.49 0.9794836793 
8.55 0.9752158322 
8.61 0.997745632 
8.67 0.9999773772 
8.73 1.0043523683 
8.79 1.0007822831 
8.85 1.0160011987 
8.91 1.0138824949 
8.97 1.0359853645 
9.03 1.0071709631 
9.09 1.0133222567 
9.15 1.0000042127 
9.21 0.9977003675 
9.27 1.0110925387 
9.33 0.991678091 
9.39 0.9827931171 
9.45 0.9790853534 
9.51 0.9899143122 
9.57 0.9848288402 
9.63 1.0044839874 
9.69 0.9952838706 
9.75 0.9823039918 
9.81 1.001782162 
9.87 1.0067276815 
9.93 1.0112810515 
9.99 1.0171838779 
10.05 1.0107827222 
10.11 1.0082935326 
10.17 1.0055903083 
10.23 0.997191977 
10.29 0.9971510594 
10.35 1.0024521378 
10.41 1.009990785 
10.47 0.9859976561 
10.53 0.9981674729 
10.59 0.9925900506 
10.65 0.9930413132 
10.71 0.9926400312 
10.77 0.9932392177 
10.83 0.9851460229 
10.89 1.0012371673 
10.95 1.0038893577 
11.01 1.0127330844 
11.07 1.0091820273 
11.13 1.0101174804 
11.19 1.0035952077 
11.25 1.0108582579 
11.31 0.996230055 
11.37 0.998810698 
11.43 0.9940007445 
11.49 0.9989359466 
11.55 1.0001763742 
11.61 1.0000536135 
11.67 0.9873463482 
11.73 0.9968573746 
11.79 0.9849255932 
11.85 1.0052152375 
11.91 0.9966178122 
11.97 1.0043751096 
