# Radial distribution function (200 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.0 
1.11 0.1431380466 
1.17 0.0 
1.23 0.0 
1.29 0.160868958 
1.35 0.2321800817 
1.41 18.1274215497 
1.47 0.0 
1.53 0.0 
1.59 0.0 
1.65 0.0556795494 
1.71 0.0 
1.77 0.0 
1.83 0.0283498573 
1.89 0.1097994475 
1.95 0.0 
2.01 0.003226383 
2.07 0.0 
2.13 0.0994574221 
2.19 0.1273316367 
2.25 0.0 
2.31 0.0 
2.37 0.0875615847 
2.43 10.4881347242 
2.49 0.0425390179 
2.55 0.0 
2.61 0.0 
2.67 0.1165848066 
2.73 0.1148143261 
2.79 9.0236440088 
2.85 0.0728143704 
2.91 0.0029713768 
2.97 0.1208209829 
3.03 0.0335309575 
3.09 0.0671588854 
3.15 0.0 
3.21 0.0558938192 
3.27 0.095193099 
3.33 0.0159042274 
3.39 0.0624909466 
3.45 0.0601510017 
3.51 0.0012317246 
3.57 0.12776296 
3.63 0.1703139157 
3.69 13.5488501156 
3.75 5.7644709935e-04 
3.81 0.0 
3.87 0.0809930517 
3.93 0.0011000899 
3.99 0.0509267174 
4.05 0.1190256511 
4.11 0.1509491948 
4.17 5.9961902861 
4.23 0.003066208 
4.29 0.173841127 
4.35 0.0 
4.41 0.0470569061 
4.47 0.1629720407 
4.53 0.0458103655 
4.59 0.0442696302 
4.65 0.0581095866 
4.71 0.0440596509 
4.77 0.0879172463 
4.83 5.1381218354 
4.89 0.0035364853 
4.95 0.2716288604 
5.01 9.8272149212 
5.07 0.0 
5.13 0.020226214 
5.19 0.0603936629 
5.25 0.0605269454 
5.31 0.2133179944 
5.37 0.0764839028 
5.43 0.0780273698 
5.49 0.0972557606 
5.55 4.4727231523 
5.61 0.0631933986 
5.67 0.1250493708 
5.73 7.5451191014e-04 
5.79 0.2598492106 
5.85 0.0188453859 
5.91 0.0 
5.97 0.0354848089 
6.03 8.2525500314 
6.09 0.0181027106 
6.15 0.0355007055 
6.21 0.0334172232 
6.27 0.0341317361 
6.33 7.8493107693 
6.39 0.0013531622 
6.45 0.1653933974 
6.51 0.1102421872 
6.57 0.0358634326 
6.63 0.1829110988 
6.69 0.1053373063 
6.75 0.0326653356 
6.81 0.1237964586 
6.87 0.1991763176 
6.93 3.5291788323 
6.99 0.0 
7.05 0.1542302612 
7.11 0.0826970522 
7.17 0.1513475125 
7.23 3.3704814061 
7.29 0.1028946211 
7.35 6.5470861625 
7.41 0.0790572692 
7.47 0.0295168695 
7.53 0.0568408992 
7.59 0.1076566223 
7.65 0.028822355 
7.71 6.600543586 
7.77 0.0931996999 
7.83 0.0287119245 
7.89 0.0526035376 
7.95 0.1745655839 
8.01 0.0904071996 
8.07 0.1138429448 
8.13 0.0691311097 
8.19 0.2349074718 
8.25 0.0620990739 
8.31 2.8735211566 
8.37 0.0490703176 
8.43 5.8175513091 
8.49 0.0460852142 
8.55 0.1597870907 
8.61 0.0969114026 
8.67 5.4423387909 
8.73 0.0237710144 
8.79 0.1016897933 
8.85 0.2823613758 
8.91 0.068901926 
8.97 0.1658008379 
9.03 0.1149063985 
9.09 5.4377225139 
9.15 0.0472497622 
9.21 0.0037553557 
9.27 0.3022149841 
9.33 0.0454114274 
9.39 0.1084291469 
9.45 0.1015644889 
9.51 0.0891038103 
9.57 0.173024482 
9.63 2.4623584331 
9.69 7.3490312669 
9.75 8.868416913e-04 
9.81 0.1579941018 
9.87 0.162070993 
9.93 0.0622597698 
9.99 4.7098151518 
10.05 0.1129234057 
10.11 0.2612827728 
10.17 0.2331720015 
10.23 0.0335979065 
10.29 0.1802447563 
10.35 0.1238525833 
10.41 0.0236725394 
10.47 4.7511463647 
10.53 0.1662828171 
10.59 0.0387836221 
10.65 0.1587259267 
10.71 0.0403674439 
10.77 0.1904764266 
10.83 4.3896207094 
10.89 0.0244156313 
10.95 0.2090607802 
11.01 4.187094973 
11.07 2.1184235628 
11.13 0.0400094685 
11.19 0.1433390575 
11.25 0.4351214855 
11.31 0.0567655134 
11.37 4.3007288372 
11.43 0.1274689452 
11.49 0.0703626681 
11.55 0.1196876364 
11.61 0.1835842506 
11.67 0.2109811202 
11.73 0.0698444535 
11.79 0.1510790108 
11.85 4.1299880789 
11.91 0.0270436454 
11.97 0.018420302 
